"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.30839410419322,7.71849188095734,-13.5918352502483,2.66304610333452e-28,2.2220813742684e-26,53.682420673582,"242448_at"
-2.08331856410759,9.5806786062435,-13.5690978677283,3.07142141146365e-28,2.54859723342339e-26,53.5406852112077,"1566887_x_at"
-2.47902450772951,9.05332196233091,-13.5641255733172,3.16876813653434e-28,2.6148464578606e-26,53.5096871757208,"1556658_a_at"
-4.24107057734418,11.1932069583767,-13.5531730412762,3.39422875188998e-28,2.78550552957301e-26,53.4414039201478,"212386_at"
-3.75509394669412,10.5454436224766,-13.4955796301307,4.8724171196634e-28,3.97674437701052e-26,53.0822613716638,"203753_at"
-6.35286449707487,10.9742707130073,-13.4609350006749,6.05641455057103e-28,4.91622868083309e-26,52.8661620151891,"212671_s_at"
-2.75053834519724,8.92266072507804,-13.4188343149507,7.88942506211014e-28,6.36953798527984e-26,52.6034949258571,"213517_at"
-2.2681610972481,10.0868128022893,-13.4124416149582,8.21266292017349e-28,6.59485663310275e-26,52.5636051287503,"237768_x_at"
-2.21967208798248,8.25504297773153,-13.3927944968802,9.29144928711886e-28,7.42123457499504e-26,52.4410000514239,"214132_at"
-4.28532280351015,9.84096915858481,-13.3910816990154,9.39196465677909e-28,7.46161617625811e-26,52.4303109347488,"227265_at"
-1.80347462819884,10.8457907954214,-13.3898219275983,9.46658820607303e-28,7.481109071212e-26,52.4224489705362,"202379_s_at"
-2.68696130906625,9.10924909635796,-13.3825582992096,9.9085782125321e-28,7.78918548328313e-26,52.377117141689,"235757_at"
-1.93491524687061,10.6664556738814,-13.3794621347347,1.01032028263495e-27,7.8659222590986e-26,52.357793626487,"229949_at"
-1.68921789523483,11.3987755669095,-13.3793311084847,1.01115229897357e-27,7.8659222590986e-26,52.3569758694343,"212454_x_at"
-4.33469154198124,11.1964210801249,-13.3471812968092,1.23749821254222e-27,9.57682554535265e-26,52.1563057231231,"201009_s_at"
-5.10601437389286,13.9458363567118,-13.3461731788246,1.24536229827906e-27,9.58800581809074e-26,52.1500127675686,"224588_at"
-2.02384579226722,7.78761268844953,-13.3269355364377,1.40539301997968e-27,1.07645898186751e-25,52.0299195341751,"239811_at"
-1.71465804778246,8.61063464807492,-13.3091763687203,1.57133875555227e-27,1.19742426800656e-25,51.9190450786301,"210679_x_at"
-2.17744017323594,9.24553018293444,-13.2895729363779,1.77738281444144e-27,1.34756292977144e-25,51.796644685078,"206169_x_at"
-4.26626532009674,8.54835012528616,-13.288281814234,1.7918659885546e-27,1.35168234368947e-25,51.7885827166608,"204232_at"
-4.97199410219956,10.7834021602497,-13.2426176935292,2.38768051239054e-27,1.79208020769171e-25,51.5034155717573,"201792_at"
-2.52287788181848,8.39913631737773,-13.2391828642563,2.43980462045112e-27,1.8220460905529e-25,51.4819628937466,"239238_at"
-3.99786697692584,11.5548887292404,-13.1677398251686,3.82354977167567e-27,2.84122086516158e-25,51.0356781936476,"201288_at"
-2.42937554650783,10.3186647298647,-13.1133165223317,5.38444675384939e-27,3.98129191660864e-25,50.6956164366172,"242558_at"
-2.83216996247998,9.02046657877211,-13.1103914546623,5.48444702831567e-27,4.03525619777945e-25,50.677337079613,"1561167_at"
-1.84626143893192,8.72098016149844,-13.0678062460866,7.16958220389445e-27,5.24925881359645e-25,50.4111890322759,"235493_at"
-3.25965397199072,7.88626775608741,-13.0662571932965,7.23980575404486e-27,5.2748165240202e-25,50.4015069628407,"209473_at"
-1.53054447011145,10.1011570064516,-13.0574588103165,7.65192293970619e-27,5.54801558385687e-25,50.3465132048126,"236715_x_at"
-2.30834556342125,9.18695965078044,-13.0487743674716,8.0817187760975e-27,5.83133099709142e-25,50.2922298316318,"1556820_a_at"
-1.45969380416381,12.4257289444329,-13.0158852789227,9.94011891727225e-27,7.13777000713358e-25,50.0866360761042,"211452_x_at"
-1.38521755397588,9.12743118043704,-13.0149079553976,1.00014470371365e-26,7.14744559553449e-25,50.0805263337154,"215383_x_at"
-2.03808063774226,7.50211636815817,-12.9935888974108,1.14376128927281e-26,8.13486600789463e-25,49.947244956286,"243037_at"
-2.72021657028467,8.27469456670135,-12.9920385618157,1.15497661910868e-26,8.17570179289446e-25,49.9375522667174,"233369_at"
-1.94319042314606,8.57484017294485,-12.9608666899674,1.4053539215009e-26,9.90111611864975e-25,49.7426552311843,"236494_x_at"
-3.20718857829199,9.18592723204995,-12.9550151743784,1.45808443834995e-26,1.02243892822511e-24,49.7060673709815,"234032_at"
-5.35054376942183,10.2064791985432,-12.9411813790838,1.59075397096963e-26,1.11025707057955e-24,49.6195658884643,"216834_at"
-2.43798435444651,8.89473946805411,-12.9378164900688,1.62481002152069e-26,1.12875174332247e-24,49.5985249729898,"222380_s_at"
-6.26040665646959,12.5014327833507,-12.919334640919,1.82529742016577e-26,1.26215936424055e-24,49.4829526562916,"214836_x_at"
